Frequency,Total,Op Amp V,Op Amp I,Rf,Rin,Op Amp 2 V,Op Amp 2 I,Rfilter
430000,2.685965771603462e-7,1.7668714814326324e-7,4.49477694549794e-10,2.0081364217134766e-7,6.770405974092025e-12,1.6390137783643695e-8,2.8335540790381234e-12,1.5768490914731192e-8
450000,2.709321671160136e-7,1.8274477083266973e-7,4.4435998759884265e-10,1.9852719862843616e-7,6.63261291448969e-12,1.6384473269266614e-8,2.8132150474535333e-12,1.5645369168199082e-8
470000,2.7312953859822086e-7,1.8851806890989397e-7,4.3900776763182203e-10,1.9613598144833524e-7,6.494744654837809e-12,1.6378557470829714e-8,2.7924360504799533e-12,1.551951756188998e-8
485000,2.7467522420790933e-7,1.92654306946694e-7,4.348414057894799e-10,1.9427457140216496e-7,6.3914889549544904e-12,1.637395620515278e-8,2.7765899239914386e-12,1.5423496740747552e-8
500000,2.7612459229996136e-7,1.9661919613629924e-7,4.305462983641032e-10,1.923556415507715e-7,6.288501258968534e-12,1.6369214404724804e-8,2.7605397638204623e-12,1.5326198315392656e-8
520000,2.7789469893103776e-7,2.0163144941201734e-7,4.246225284221697e-10,1.897090723620238e-7,6.1518097057375425e-12,1.6362674028168204e-8,2.738853110286316e-12,1.5194663594633527e-8
540000,2.7946455589694266e-7,2.0632127704681833e-7,4.1847870967908854e-10,1.8696419172923852e-7,6.016076000438293e-12,1.6355885358637466e-8,2.7168768549786242e-12,1.506129227825245e-8
560000,2.808195779307054e-7,2.1067984979383384e-7,4.121214511393983e-10,1.8412395236461597e-7,5.881542820644379e-12,1.6348849323301307e-8,2.694650763284419e-12,1.4926321017582406e-8
580000,2.8194680709151145e-7,2.1469949701653354e-7,4.0555859568463784e-10,1.811918582409363e-7,5.748428811729782e-12,1.634156688095875e-8,2.672213000238955e-12,1.4789977141717069e-8
600000,2.8283502643350333e-7,2.1837383776656703e-7,3.987992617348943e-10,1.781719832047346e-7,5.616929030673969e-12,1.6334039021681167e-8,2.6496000650806068e-12,1.4652478265838079e-8
625000,2.835950919438158e-7,2.2247375087407673e-7,3.900897804177737e-10,1.7428083869206612e-7,5.455084605381961e-12,1.6324285638323456e-8,2.6211403892348777e-12,1.4479295774839434e-8
650000,2.839531297545944e-7,2.2602013776829626e-7,3.811128108172936e-10,1.7027018814590388e-7,5.2963186793277385e-12,1.631415244957348e-8,2.5925253390020725e-12,1.4305015343228194e-8
675000,2.8389994645583847e-7,2.29010650870297e-7,3.7189450441580587e-10,1.6615171529267732e-7,5.140870321702506e-12,1.6303641589824656e-8,2.5638147261139623e-12,1.412999495124641e-8
700000,2.8343130727572195e-7,2.314471161985214e-7,3.6246378382980704e-10,1.6193834192145448e-7,4.9889328436536376e-12,1.6292755265580315e-8,2.535064077007515e-12,1.3954567499012174e-8
725000,2.825479166340263e-7,2.3333562144969664e-7,3.528520050556999e-10,1.576440769851109e-7,4.840657885561819e-12,1.6281495754194094e-8,2.5063246858810646e-12,1.3779041096125553e-8
750000,2.8125528782352495e-7,2.3468649476894853e-7,3.4309252610343426e-10,1.5328382387830864e-7,4.696159519741627e-12,1.6269865402577034e-8,2.4776437045494187e-12,1.3603699568138067e-8
800000,2.7748686431156337e-7,2.3583694877020872e-7,3.232708056704209e-10,1.4442805211806022e-7,4.418784917792387e-12,1.624550190610029e-8,2.4206256117075576e-12,1.3254589273819045e-8
825000,2.7504346608361e-7,2.3567664806024868e-7,3.132804655477257e-10,1.399646569131471e-7,4.285984210120448e-12,1.6232773790772213e-8,2.392363288959233e-12,1.3081273590988791e-8
850000,2.722546764645389e-7,2.350581833654616e-7,3.032850354995964e-10,1.3549898767666965e-7,4.157118161666172e-12,1.621968489147897e-8,2.364309293708495e-12,1.2909050912919689e-8
875000,2.691445784678479e-7,2.3400907170903578e-7,2.9331953253051564e-10,1.3104668899409563e-7,4.032169210412381e-12,1.620623788245154e-8,2.3364922741854028e-12,1.2738096331911752e-8
900000,2.657393757818506e-7,2.3255889732247977e-7,2.834175987537265e-10,1.2662279118922636e-7,3.91110305534392e-12,1.619243549909748e-8,2.3089377197529764e-12,1.256856632786207e-8
925000,2.6206679207935124e-7,2.307387556587092e-7,2.736110284640696e-10,1.22241499034011e-7,3.793871233852593e-12,1.617828053651403e-8,2.2816681556942504e-12,1.2400599899240714e-8
975000,2.540344902277821e-7,2.261172008542217e-7,2.543996186504984e-10,1.1365839641804293e-7,3.5706595907518956e-12,1.614892434342429e-8,2.2280604444609187e-12,1.2069833128157396e-8
1000000,2.497327210937519e-7,2.233806633969763e-7,2.4504598123097723e-10,1.094794615775819e-7,3.4645316709273473e-12,1.6133728987883578e-8,2.2017542645686337e-12,1.1907233478274454e-8
1050000,2.406992706325226e-7,2.1721509006003813e-7,2.269492359801914e-10,1.0139435886987731e-7,3.2628113945690184e-12,1.6102318850105063e-8,2.150200338682438e-12,1.1588003670922304e-8
1100000,2.312686601988448e-7,2.1032628675031e-7,2.097739033655023e-10,9.372091669536701e-8,3.074526525279722e-12,1.606957019717837e-8,2.1001188227222223e-12,1.1277133032298812e-8
1150000,2.2163091339385966e-7,2.0293328377348164e-7,1.9360907727588042e-10,8.649893962846322e-8,2.898908612218262e-12,1.6035508571675103e-8,2.0515596262799905e-12,1.0974961589462358e-8
1200000,2.119478157650896e-7,1.9522650451751173e-7,1.7850281945936372e-10,7.97499002690072e-8,2.735174688420338e-12,1.600016024429114e-8,2.004549986469567e-12,1.0681694004425172e-8
1250000,2.0235158236373758e-7,1.8736583899615144e-7,1.6446867441851492e-10,7.347984990925215e-8,2.582547509747841e-12,1.59635521614137e-8,1.959098588852631e-12,1.0397423703982166e-8
1300000,1.929459947723916e-7,1.7948128201270778e-7,1.5149284609112024e-10,6.768262486736388e-8,2.440269820168695e-12,1.592571189235603e-8,1.915199143017523e-12,1.012215384659177e-8
1350000,1.8380909082519886e-7,1.716752622959705e-7,1.3954115475729615e-10,6.234295463243287e-8,2.3076140067563414e-12,1.5886667576442785e-8,1.8728334467500483e-12,9.85581531803604e-9
1400000,1.7499664316905022e-7,1.640259046251737e-7,1.285652349585885e-10,5.7439230915582413e-8,2.1838882526061376e-12,1.5846447870123997e-8,1.831973983795927e-12,9.59828201342153e-9
1450000,1.6654586494391472e-7,1.5659064685307024e-7,1.1850772001949263e-10,5.2945823944329825e-8,2.0684400716367148e-12,1.580508189428912e-8,1.7925861051338429e-12,9.349383692896265e-9
1500000,1.5847897508121269e-7,1.494098178748569e-7,1.093063612934561e-10,4.883492282263733e-8,1.960657919635629e-12,1.576259918194598e-8,1.7546298444268392e-12,9.108916703755669e-9
1550000,1.5080641409200088e-7,1.4250993908143773e-7,1.0089715444631142e-10,4.5077932263987294e-8,1.8599714198396913e-12,1.571902962642164e-8,1.7180614163921003e-12,8.876652851123712e-9
1600000,1.4352961628976637e-7,1.3590662965822507e-7,9.321660784524309e-11,4.164648604200703e-8,1.7658506154243552e-12,1.5674403430234267e-8,1.682834443316755e-12,8.652346679514177e-9
1650000,1.3664332004630076e-7,1.2960707651198188e-7,8.620330888942444e-11,3.8513146781723804e-8,1.6778045612532128e-12,1.56287510547762e-8,1.648900950619822e-12,8.435741402812246e-9
1700000,1.3013744234736645e-7,1.2361207942554663e-7,7.979893963107526e-11,3.565185970969796e-8,1.595379488774357e-12,1.5582103170939448e-8,1.6162121677399905e-12,8.226573693636026e-9
1750000,1.239985665797058e-7,1.1791770936651521e-7,7.394887559410173e-11,3.303822018888271e-8,1.5181567170443332e-12,1.5534490610805562e-8,1.5847191660539739e-12,8.024577516633896e-9
1800000,1.1821110080124551e-7,1.1251663001349142e-7,6.860247935183445e-11,3.064960488067198e-8,1.4457504360198086e-12,1.548594432051199e-8,1.554373361206523e-12,7.829487165264663e-9
1850000,1.1275816349828363e-7,1.0739913523119217e-7,6.371317789397643e-11,2.84652063102166e-8,1.37780545254003e-12,1.5436495314397364e-8,1.5251269032742345e-12,7.641039638669425e-9
1900000,1.0762224901302587e-7,1.0255395251137718e-7,5.923839250644589e-11,2.6466001538764733e-8,1.3139949624126044e-12,1.53861746305183e-8,1.4969329746417295e-12,7.45897647468432e-9
1950000,1.0278571800320452e-7,9.796885701986419e-8,5.513937276710846e-11,2.4634677997753263e-8,1.2540183917611884e-12,1.533501328762029e-8,1.4697460123505307e-12,7.283045136930137e-9
2000000,9.823115101090612e-8,9.363113454345203e-8,5.1380972458400496e-11,2.2955533373044974e-8,1.1975993357442174e-12,1.528304224363556e-8,1.4435218689727412e-12,7.113000038167017e-9
2100000,8.990073708648833e-8,8.564647469527482e-8,4.476192324745071e-11,1.9998333503330497e-8,1.094437435630691e-12,1.517679434224006e-8,1.3937931536234777e-12,6.789625085885096e-9
2200000,8.250360491454862e-8,7.849937512020643e-8,3.9162256224055085e-11,1.7496564130678587e-8,1.0027105304868394e-12,1.5067675898303602e-8,1.3474252452223121e-12,6.487047996077649e-9
2300000,7.592491836659342e-8,7.209542271105509e-8,3.440400218811321e-11,1.5370713760526015e-8,9.208949627376563e-13,1.4955928530886802e-8,1.304122813041665e-12,6.2036020232401995e-9
2400000,7.006303915716812e-8,6.634864523956752e-8,3.034270185424122e-11,1.3556242159630608e-8,8.476975762807543e-13,1.4841789475221208e-8,1.2636164062686331e-12,5.937757091346396e-9
2500000,6.482898430363958e-8,6.118217002391942e-8,2.6860996089137488e-11,1.200071665939468e-8,7.820181928448453e-13,1.4725490665247819e-8,1.2256612972535721e-12,5.688114798260771e-9
2600000,6.014533876018115e-8,5.6528022932912535e-8,2.3863331607980767e-11,1.0661446814042927e-8,7.22918252331668e-13,1.4607257929558966e-8,1.1900358942772007e-12,5.4534007203735425e-9
2700000,5.594497325371207e-8,5.232650083930227e-8,2.1271669223849128e-11,9.503566970512012e-9,6.695947143868637e-13,1.4487310298996156e-8,1.1565399538260545e-12,5.232455382048732e-9
2800000,5.216975335964547e-8,4.8525365482098285e-8,1.902204136413236e-11,8.498498266285552e-9,6.213583835201508e-13,1.4365859422699544e-8,1.1249927386804538e-12,5.024224762856958e-9
2900000,4.876933172579911e-8,4.5078996109820126e-8,1.706180595621774e-11,7.622721744892533e-9,5.776159185727269e-13,1.4243109088187564e-8,1.0952312119695976e-12,4.82775088501511e-9
3000000,4.5700062633321835e-8,4.194757322596011e-8,1.5347460728417116e-11,6.856801848737209e-9,5.378548932520299e-13,1.4119254840064477e-8,1.0671083200568522e-12,4.642162803392803e-9
3100000,4.292404951075852e-8,3.909632813423857e-8,1.384290371573498e-11,6.184609263354818e-9,5.016313750763296e-13,1.3994483691197662e-8,1.0404913926525595e-12,4.466668175654128e-9
3200000,4.040832131133937e-8,3.649487170490655e-8,1.251804700112203e-11,5.592701577072251e-9,4.685595798964015e-13,1.3868973919660495e-8,1.0152606727553208e-12,4.3005454962794514e-9
3350000,3.706087381063662e-8,3.300376211563054e-8,1.0813735726551355e-11,4.8312645611975625e-9,4.2413751028950615e-13,1.3679692511970012e-8,9.797799506141734e-13,4.067510904955329e-9
3500000,3.41529148304815e-8,2.993917270240855e-8,9.389251154180699e-12,4.194846027723581e-9,3.85097196169033e-13,1.3489662509466268e-8,9.468546937515354e-13,3.852112706215179e-9
3700000,3.0844106476651475e-8,2.6409195767754526e-8,7.834568158853543e-12,3.500258602142398e-9,3.400662938826043e-13,1.3235964092673667e-8,9.064546518147917e-13,3.589380843424616e-9
