Frequency,Nominal,Min,Max
800000,-216.53674231913146,-224.8592398259084,-204.463954286383
820000,-220.28073741545063,-227.88987530192585,-209.13554841735296
840000,-223.61652815177806,-230.58615735225422,-213.35814583636923
860000,-226.59188548008083,-232.99360077119582,-217.1584152553509
880000,-229.2517259812471,-235.15178090334368,-220.57181183842928
900000,-231.63663875879925,-237.09465821255017,-223.63706890082872
920000,-233.78242401883293,-238.8511632259237,-226.3926563942052
940000,-235.72019434608444,-240.44585705512608,-228.87475519919184
960000,-237.4767536476023,-241.89957321276916,-231.116271979728
980000,-239.07508562995812,-243.2299983114462,-233.1465083569601
1000000,-240.53485931328862,-244.45217731656936,-234.99120897992114
1020000,-241.8729049612883,-245.57894325468706,-236.67280786004343
1040000,-243.10364022076334,-246.62127778601695,-238.21076184133545
1060000,-244.2394406997315,-247.58861143310367,-239.6219067901755
1080000,-245.29095658969894,-248.4890725557553,-240.92080169555194
1100000,-246.2673803088962,-249.3296934947427,-242.12004378927256
1120000,-247.17667133113363,-250.11658126643783,-243.2305481764506
1150000,-248.42961373495584,-251.20762277785718,-244.75030972528128
1180000,-249.5665909871086,-252.20484431086604,-246.11842881060096
1200000,-250.26826251518514,-252.82384241298308,-246.95731500885242
1220000,-250.92971482352377,-253.40996222620967,-247.7442029047561
1250000,-251.85423867045694,-254.23358538097958,-248.83751586453315
1280000,-252.70673940559772,-254.99777012502832,-249.83872448495782
1300000,-253.23946065009451,-255.47769421217768,-250.46091423831763
1320000,-253.74636385774562,-255.93612127091748,-251.05043404231873
1350000,-254.46267900854576,-256.5869522543338,-251.87924292736997
1380000,-255.1313980921086,-257.19783418467523,-252.64840583960424
1400000,-255.55333337366878,-257.5849661884476,-253.13140686159434
1420000,-255.95774971184807,-257.9572840100693,-253.5926535094976
1450000,-256.53415464361126,-258.49012473458805,-254.24714644578887
1480000,-257.0775013289334,-258.9948228255576,-254.86092903039795
1500000,-257.4229541643548,-259.3169562387075,-255.2495426508103
1550000,-258.23387654878405,-260.07708722033914,-256.15675852536975
1600000,-258.9782921733126,-260.7799309099095,-256.98326985593735
1650000,-259.66544330856016,-261.433189757181,-257.74074864910295
1700000,-260.3029189498583,-262.04322759100535,-258.438706927594
1750000,-260.8970086432002,-262.61534899885055,-259.08497249865997
1800000,-261.45296955932565,-263.1540116954003,-259.68604519384377
1850000,-261.97523050617025,-263.6629898311382,-260.24736689433746
1900000,-262.4675495049698,-264.14550092734913,-260.77352855426875
1950000,-262.9331367580602,-264.6043055251438,-261.2684306169694
2000000,-263.3747515321592,-265.04178614073084,-261.7354085543335
2050000,-263.79477917413095,-265.4600103656701,-262.1773320245299
2100000,-264.19529284522037,-265.86078170314556,-262.5966838715662
2150000,-264.57810339265365,-266.2456808330053,-262.99562357549564
2200000,-264.94479993291174,-266.6160993443947,-263.37603860121703
2250000,-265.2967831032552,-266.97326749381926,-263.7395862502288
