Frequency,Nominal,Min,Max
1600000,4.496150905786677e-7,4.5274293560748183e-7,4.4615151016655794e-7
1650000,4.3714721095717196e-7,4.4012321507942937e-7,4.3390698425774907e-7
1700000,4.2533156691153316e-7,4.2817520848203485e-7,4.222854688359379e-7
1750000,4.141222359415876e-7,4.1684976031563577e-7,4.112459880931111e-7
1800000,4.034768048755026e-7,4.0610186990030917e-7,4.0075006974358605e-7
1850000,3.933562019612166e-7,3.958903751218291e-7,3.9076181215365977e-7
1900000,3.837244875803652e-7,3.861776329347209e-7,3.8124784876355084e-7
1950000,3.745486278604846e-7,3.769292101497775e-7,3.721772515911245e-7
2000000,3.657982660168878e-7,3.6811359186212616e-7,3.6352140076990764e-7
2050000,3.574455002359498e-7,3.597019110645936e-7,3.5525383743161237e-7
2100000,3.494646730756883e-7,3.516677006655365e-7,3.4735011094122515e-7
2150000,3.418321749259091e-7,3.4398666774290087e-7,3.3978762735852154e-7
2200000,3.3452626254155524e-7,3.3663648907120545e-7,3.32545503284365e-7
2250000,3.275268927200682e-7,3.295966265355794e-7,3.256044274694183e-7
