Frequency,Nominal,Min,Max
245000,3.7245868564870866e-8,3.4976019093874886e-8,3.966563704423006e-8
250000,3.798967970702799e-8,3.5609889326955525e-8,4.052634979999835e-8
255000,3.875545441730305e-8,3.626209446705206e-8,4.1412506433949606e-8
260000,3.9543454227679675e-8,3.693290612929863e-8,4.232425927392226e-8
270000,4.118698757217567e-8,3.833135966935972e-8,4.422477338751587e-8
275000,4.204283477193105e-8,3.905945780716887e-8,4.521341153018817e-8
280000,4.2921518226103465e-8,3.980706659147822e-8,4.622737152898925e-8
285000,4.3823041484808464e-8,4.0574345427334545e-8,4.726629371853789e-8
290000,4.474732952558467e-8,4.136141709405494e-8,4.8329670300116006e-8
295000,4.5694217951126955e-8,4.2168361913063576e-8,4.941682792122239e-8
300000,4.666344143301794e-8,4.2995211404183886e-8,5.05269096227503e-8
305000,4.765462145086768e-8,4.3841941420487564e-8,5.165885641556477e-8
310000,4.866725340588309e-8,4.470846475978265e-8,5.2811388826206194e-8
315000,4.9700693223109875e-8,4.5594623260937844e-8,5.398298883785206e-8
320000,5.075414359764865e-8,4.650017940577175e-8,5.517188274558705e-8
330000,5.291703730418542e-8,4.836808422452478e-8,5.759308753917875e-8
340000,5.514596806567749e-8,5.0308345896283794e-8,6.00551689047667e-8
350000,5.742766801189099e-8,5.2315260173995787e-8,6.253350821648868e-8
360000,5.974523892810455e-8,5.438093810608072e-8,6.505908514396859e-8
370000,6.207796991183452e-8,5.649500976488148e-8,6.756730161512982e-8
390000,6.668754614454447e-8,6.081305336112769e-8,7.234620819810349e-8
400000,6.890582833841021e-8,6.298214304506036e-8,7.453835235152762e-8
410000,7.102393836084625e-8,6.512999903510873e-8,7.654761798293481e-8
420000,7.300940901630843e-8,6.723261297176581e-8,7.833990918930955e-8
432000,7.517357385629206e-8,6.957073402026485e-8,8.01658532581625e-8
445000,7.719865144473988e-8,7.185878856910163e-8,8.171062300192399e-8
458000,7.884869692780424e-8,7.38890791239143e-8,8.285540978076368e-8
475000,8.040289383122354e-8,7.547730141943605e-8,8.445385433401288e-8
488000,8.113065100678001e-8,7.520993239981506e-8,8.558623121214954e-8
500000,8.146866609785305e-8,7.4705636166555e-8,8.695873763809394e-8
515000,8.148776451277196e-8,7.380124922341709e-8,8.820684454217985e-8
530000,8.112752219720151e-8,7.26751644583034e-8,8.89564208382067e-8
550000,8.019395034107383e-8,7.096315143609334e-8,8.926053555446768e-8
565000,7.925118095471044e-8,6.960233609931486e-8,8.904630466629002e-8
580000,7.817230109517696e-8,6.822786003468403e-8,8.852547227481199e-8
600000,7.660890983842261e-8,6.642910074887534e-8,8.745877026196838e-8
615000,7.539030093779652e-8,6.513192357007914e-8,8.644565685085426e-8
630000,7.415946802625858e-8,6.389192242934023e-8,8.529372738290284e-8
645000,7.293071070758133e-8,6.271370136209551e-8,8.403092264695392e-8
660000,7.171079593778988e-8,6.159721851989002e-8,8.267578741261478e-8
675000,7.050064605090884e-8,6.053899931428322e-8,8.123920818338032e-8
688000,6.945719424023599e-8,5.966444275958378e-8,7.993240593930016e-8
700000,6.849475706484314e-8,5.888775648635014e-8,7.870906814829181e-8
715000,6.728630014984771e-8,5.7951217050520976e-8,7.718633804530345e-8
732000,6.589880655410756e-8,5.692466897729431e-8,7.536399352046223e-8
750000,6.439478065395414e-8,5.586267757947646e-8,7.332120191818692e-8
765000,6.310381469649216e-8,5.498511486270073e-8,7.153076980816862e-8
780000,6.177145840712897e-8,5.4104070074724137e-8,6.966374387703294e-8
800000,5.99229699185342e-8,5.2908703204992126e-8,6.706646470510083e-8
820000,5.798881908267818e-8,5.1673274458598074e-8,6.461456750966719e-8
840000,5.59730218281319e-8,4.9883767195547926e-8,6.232302868365051e-8
860000,5.388731059737501e-8,4.763054956174142e-8,5.999844166482321e-8
880000,5.174973550454411e-8,4.5386157193104534e-8,5.8084422343800265e-8
900000,4.9582618825390235e-8,4.317714834048031e-8,5.6097399853741595e-8
920000,4.7410250547458165e-8,4.102677531071425e-8,5.405128249441728e-8
940000,4.52567067874328e-8,3.895387584059842e-8,5.19643833113537e-8
960000,4.3144078998762016e-8,3.6972481787299747e-8,4.985765604422094e-8
