Frequency,Nominal,Min,Max
539907.3994677236,6.817742172025061e-7,5.276793683854546e-7,8.418797748091666e-7
557449.5492867493,7.451336566982803e-7,5.774407326853697e-7,9.080295016095963e-7
572450.8712544685,7.991437223464108e-7,6.227380706651724e-7,9.569190539238223e-7
589915.248150105,8.582146974514563e-7,6.774931648497716e-7,9.991045727686932e-7
607453.7019394976,9.092639223208355e-7,7.324572218292487e-7,0.0000010218247962562798
622454.8176373929,9.424408820227863e-7,7.777595843776066e-7,0.0000010240602181877753
637455.8808262734,9.631139361012838e-7,8.192087703302063e-7,0.0000010143152050241643
652456.8951279464,9.694162895124646e-7,8.544984568653835e-7,9.878539123659328e-7
667457.8638386097,9.607309226065132e-7,8.813361657101131e-7,9.707953266551451e-7
681469.0014960328,9.398919730074146e-7,8.761361692599879e-7,9.494652289742126e-7
693974.0629158989,9.119992863224837e-7,8.269565567253448e-7,9.208442812303356e-7
707460.2462329597,8.738342815805317e-7,7.718168037455441e-7,9.109664246292124e-7
723450.0673854416,8.211696954719367e-7,7.06554136779028e-7,8.878186721135148e-7
740945.3421137081,7.583476901438871e-7,6.379372773110258e-7,8.501642032129463e-7
757462.8703771558,6.97617559219182e-7,5.77513014558356e-7,8.098593061481887e-7
772463.5913750239,6.433958143657833e-7,5.27065583884655e-7,7.669544913896747e-7
789936.70632526,5.832914391760877e-7,4.739542238972484e-7,7.12617772777573e-7
809938.2692526635,5.199993189332151e-7,4.2030119952828506e-7,6.488325181902714e-7
829939.7568498572,4.633042689343625e-7,3.737665855918315e-7,5.864718637522583e-7
849941.1744350311,4.1324407337538776e-7,3.335646751960432e-7,5.278151970807863e-7
869942.5268372619,3.694222918286465e-7,2.9887063309141846e-7,4.7408285876088997e-7
889943.8184514795,3.3123788577113583e-7,2.689038114459183e-7,4.257301475554785e-7
909945.0532861861,2.980257305602325e-7,2.429644385325491e-7,3.827204851911788e-7
929946.2350050136,2.6913476767381964e-7,2.204444013324096e-7,3.4473594513703035e-7
949947.3669630333,2.4396656965525805e-7,2.0082479013557904e-7,3.1132177507446726e-7
969948.4522385712,2.2199055310497693e-7,1.8366747156257836e-7,2.8197727461556955e-7
989949.4936611665,2.0274634490701038e-7,1.6860462812676845e-7,2.562084198557009e-7
1009950.4938362078,1.8583967333329125e-7,1.5532826247325057e-7,2.3355540001698404e-7
1029951.4551666987,1.7093545270486708e-7,1.435805820615372e-7,2.1360471962389255e-7
1049952.379872535,1.5775006652335299e-7,1.3314560166690374e-7,1.9599235400555957e-7
1069953.2700076206,1.4604387360658896e-7,1.2384200832456403e-7,1.80402070191176e-7
1089954.127475097,1.3561440544406578e-7,1.1551719744595542e-7,1.665614019056388e-7
1109954.9540409287,1.2629041975519958e-7,1.0804233615864743e-7,1.54236720441399e-7
1134900.8767288886,1.1601318553909283e-7,9.976196092871438e-8,1.4071866192876497e-7
1164903.429473877,1.0527567149562589e-7,9.106200717301598e-8,1.266776930851539e-7
1189957.9824514813,9.745437889951756e-8,8.468952596066809e-8,1.1651197197937171e-7
1209958.6769803339,9.186837615814529e-8,8.011676483984988e-8,1.092899855421756e-7
1234908.903522847,8.560405990121765e-8,7.496572176363472e-8,1.0123268146083815e-7
1264911.0640673516,7.893525325377781e-8,6.945501436034085e-8,9.270450189117388e-8
1289961.2397277679,7.39890617356645e-8,6.534813836909791e-8,8.641524352219611e-8
1309961.8315050253,7.040322328487503e-8,6.235879505407626e-8,8.18777505557071e-8
1334915.7276772193,6.632547692593878e-8,5.8946449135201584e-8,7.674156343067045e-8
1364917.5799292792,6.191843366322675e-8,5.524319804205191e-8,7.121878816984029e-8
1389964.0283115243,5.8602122438912896e-8,5.2445260943360076e-8,6.708347527640357e-8
1409964.5385611653,5.616893585823566e-8,5.038548786323887e-8,6.40620344310096e-8
1434921.6006458332,5.337082701510953e-8,4.8009249819494675e-8,6.06011978047446e-8
1464923.206178399,5.030987827057173e-8,4.5400738826998156e-8,5.6831720797139946e-8
1489966.4425751339,4.797956047518714e-8,4.340816469963843e-8,5.397411394615869e-8
1524795.0681976906,4.505124357940567e-8,4.089443259577874e-8,5.040088191997015e-8
1574801.5748023621,4.135642358491717e-8,3.770875846797069e-8,4.591729614264377e-8
1624807.680927192,3.81750630693099e-8,3.4951498772636223e-8,4.208215517586718e-8
1674813.4224444227,3.5415313405450995e-8,3.2548177631759446e-8,3.877545991616788e-8
1724818.831066034,3.300498296343966e-8,3.043986656334456e-8,3.590364283699851e-8
1774823.9349298847,3.0886717562525866e-8,2.8579454517703844e-8,3.3482704716872525e-8
1824828.759089466,2.9014497046922813e-8,2.6928917301253474e-8,3.135981582662351e-8
1874833.3259252673,2.7351055488863135e-8,2.545729324116109e-8,2.9479758261000255e-8
1924837.6554920159,2.586595850502094e-8,2.413916471056905e-8,2.7806323927017694e-8
1974841.76581315,2.453415411661195e-8,2.294156780255295e-8,2.6309837031175878e-8
2024845.6731316587,2.3334868998431224e-8,2.179673476707605e-8,2.4965790781212948e-8
2074849.3921246429,2.2250759504966448e-8,2.0760790620726214e-8,2.3753803703749716e-8
2124852.9360875776,2.1267252635183326e-8,1.9820078832218546e-8,2.2656813114230184e-8
2174856.3170931544,2.037203001433713e-8,1.896303880675975e-8,2.166044633921489e-8
2224859.546128699,1.9554620574638563e-8,1.8179829979274232e-8,2.0752526442595876e-8
