Frequency,Nominal,Min,Max
1200000,-4.368005194135486,-4.41260847764984,-4.310218258789284
1220000,-4.379549714760912,-4.422838198201818,-4.323952043416893
1250000,-4.395685699903099,-4.437213134048216,-4.343033954319727
1280000,-4.410564644606978,-4.450550673925377,-4.360508341245488
1300000,-4.419862384318769,-4.458926929405761,-4.371367601013788
1320000,-4.428709514281201,-4.466927990961004,-4.381656662599319
1350000,-4.441211572144583,-4.478287134495612,-4.396122106513246
1380000,-4.452882921923674,-4.488949035521008,-4.409546531815963
1400000,-4.460247081817228,-4.495705763626679,-4.417976489940187
1420000,-4.467305478467316,-4.502203935477831,-4.426026762609887
1450000,-4.477365642351317,-4.511503760509395,-4.437449819279214
1480000,-4.486848830989986,-4.5203124039253435,-4.448162346272044
1500000,-4.492878120378439,-4.525934692615497,-4.454944933466335
1550000,-4.507031385964853,-4.539201480991385,-4.470778837503757
1600000,-4.520023889616166,-4.551468417501253,-4.485204181527201
1650000,-4.532016939385053,-4.562869935253924,-4.498424680481974
1700000,-4.543142988226967,-4.573517104015892,-4.510606350483194
1750000,-4.553511809427947,-4.583502506303936,-4.521885812540576
1800000,-4.563215157926741,-4.592903943916401,-4.53237651011537
1850000,-4.572330331003762,-4.601787288205689,-4.542173421951878
1900000,-4.580922918502936,-4.610208695511977,-4.551356675315438
1950000,-4.589048949024679,-4.618216346366783,-4.559994345784476
2000000,-4.596756580858158,-4.625851823522428,-4.568144648325651
2050000,-4.604087446159953,-4.633151213259219,-4.575857667922418
2100000,-4.611077728419713,-4.640145992645788,-4.583176738377521
2150000,-4.617759032883786,-4.646863749749901,-4.590139549728021
2200000,-4.624159094866961,-4.653328772383983,-4.596779044450918
2250000,-4.630302360101063,-4.6595625325746965,-4.603124147914058
